generator,generator_desc,test_model,relation,input_filename,label,original_pred,original_correct,adv_pred,attack_success_vs_label,changed_from_original,output_image
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0001_321.png,321,321,1,325,1,1,stage9_transferability\single_inception_y_uv\output\0001_321.png
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0002_847.png,847,847,1,408,1,1,stage9_transferability\single_inception_y_uv\output\0002_847.png
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0003_446.png,446,446,1,748,1,1,stage9_transferability\single_inception_y_uv\output\0003_446.png
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0004_400.png,400,400,1,577,1,1,stage9_transferability\single_inception_y_uv\output\0004_400.png
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0005_647.png,647,647,1,438,1,1,stage9_transferability\single_inception_y_uv\output\0005_647.png
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0006_295.png,295,295,1,294,1,1,stage9_transferability\single_inception_y_uv\output\0006_295.png
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0007_171.png,171,171,1,268,1,1,stage9_transferability\single_inception_y_uv\output\0007_171.png
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0008_682.png,682,682,1,442,1,1,stage9_transferability\single_inception_y_uv\output\0008_682.png
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0009_112.png,112,112,1,186,1,1,stage9_transferability\single_inception_y_uv\output\0009_112.png
single_inception_y_uv,Y+UV generated with single Inception v3,inception_v3,white_box,0010_111.png,111,111,1,604,1,1,stage9_transferability\single_inception_y_uv\output\0010_111.png
ensemble_y_uv,"Y+UV generated with EnModel, copied from stage8",inception_v3,ensemble_member,0001_321.png,321,321,1,325,1,1,stage9_transferability\ensemble_y_uv_from_stage8\output\0001_321.png
ensemble_y_uv,"Y+UV generated with EnModel, copied from stage8",inception_v3,ensemble_member,0002_847.png,847,847,1,408,1,1,stage9_transferability\ensemble_y_uv_from_stage8\output\0002_847.png
