image_count,generation_variant,generation_type,generator_members,test_model,relation,attack,metrics,planned_output
10,single_inception_v3,single_model,inception_v3,inception_v3,white_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_inception_v3_inception_v3.csv
10,single_inception_v3,single_model,inception_v3,densenet161,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_inception_v3_densenet161.csv
10,single_inception_v3,single_model,inception_v3,googlenet,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_inception_v3_googlenet.csv
10,single_inception_v3,single_model,inception_v3,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_inception_v3_vgg16.csv
10,single_inception_v3,single_model,inception_v3,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_inception_v3_mobilenet_v3_large.csv
10,single_inception_v3,single_model,inception_v3,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_inception_v3_efficientnet_b0.csv
10,single_inception_v3,single_model,inception_v3,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_inception_v3_convnext_tiny.csv
10,single_inception_v3,single_model,inception_v3,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_inception_v3_vit_b_16.csv
10,single_densenet161,single_model,densenet161,inception_v3,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_densenet161_inception_v3.csv
10,single_densenet161,single_model,densenet161,densenet161,white_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_densenet161_densenet161.csv
10,single_densenet161,single_model,densenet161,googlenet,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_densenet161_googlenet.csv
10,single_densenet161,single_model,densenet161,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_densenet161_vgg16.csv
10,single_densenet161,single_model,densenet161,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_densenet161_mobilenet_v3_large.csv
10,single_densenet161,single_model,densenet161,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_densenet161_efficientnet_b0.csv
10,single_densenet161,single_model,densenet161,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_densenet161_convnext_tiny.csv
10,single_densenet161,single_model,densenet161,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_densenet161_vit_b_16.csv
10,single_googlenet,single_model,googlenet,inception_v3,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_googlenet_inception_v3.csv
